GazeX,GazeY,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,HeadRoll,rx,ry,rw,rh,state,time,FrameNr,Xview,Yview,docX,docY
737.4,292.6,2.9,0.5,58.4,-0.1,8.4,-3.2,249,178,212,212,0,1591384454283,1231,0.5398243045387994,0.2829562594268477,737.4,187.60000000000002
669,260.8,3,-1.1,81.7,0.4,7.3,-3.9,249,178,212,212,0,1591384458945,1232,0.48975109809663253,0.2349924585218703,669,155.8
641.8,243,3.2,-1.4,82,0.7,6.4,-3.5,255,170,209,209,0,1591384459069,1233,0.4698389458272328,0.2081447963800905,641.8,138
492,229.4,3.2,-1.6,82.2,0.7,7.6,-3.8,255,170,209,209,0,1591384459147,1234,0.3601756954612006,0.18763197586726998,492,124.4
517.6,239.6,3.2,-1.6,82.2,0.6,6.3,-3.5,255,170,209,209,0,1591384459214,1235,0.3789165446559297,0.20301659125188537,517.6,134.6
528.8,230.6,3.2,-1.5,82.1,0.6,6.4,-3.8,255,171,208,208,0,1591384459296,1236,0.3871156661786237,0.1894419306184012,528.8,125.6
582.4,237.8,3.2,-1.5,82.2,0.6,6.2,-3.5,255,171,208,208,0,1591384459404,1237,0.4263543191800878,0.20030165912518855,582.4,132.8
649.8,253,3.2,-1.5,82.2,0.7,6.1,-3.4,255,171,208,208,0,1591384459465,1238,0.47569546120058565,0.22322775263951736,649.8,148
684.4,262.6,3.2,-1.5,82.2,0.8,5.8,-3.6,255,171,208,208,0,1591384459544,1239,0.5010248901903367,0.23770739064856716,684.4,157.60000000000002
709,265.4,3.2,-1.5,82,0.8,5.7,-3.6,255,171,208,208,0,1591384459649,1240,0.5190336749633968,0.2419306184012066,709,160.39999999999998
753.4,272,3.2,-1.5,81.9,0.7,5.4,-3.6,255,171,208,208,0,1591384459726,1241,0.5515373352855051,0.25188536953242835,753.4,167
750.8,266,3.2,-1.5,81.8,0.7,5.7,-3.6,255,171,208,208,0,1591384459802,1242,0.5496339677891654,0.24283559577677225,750.8,161
748.2,262.8,3.2,-1.5,81.8,0.6,6.3,-3.6,255,171,208,208,0,1591384459879,1243,0.5477306002928258,0.23800904977375567,748.2,157.8
766,267,3.2,-1.4,81.7,0.7,6.1,-3.7,255,171,208,208,0,1591384459948,1244,0.5607613469985359,0.24434389140271492,766,162
779.6,260.8,3.2,-1.4,81.6,0.7,6,-3.8,255,171,208,208,0,1591384460015,1245,0.5707174231332357,0.2349924585218703,779.6,155.8
804.8,253,3.2,-1.4,81.5,1.1,5.8,-3.8,255,171,208,208,0,1591384460080,1246,0.5891654465592971,0.22322775263951736,804.8,148
771.2,264.2,3.2,-1.4,81.4,1,6,-3.6,255,171,208,208,0,1591384460162,1247,0.5645680819912152,0.2401206636500754,771.2,159.2
768.2,267,3.2,-1.5,81.9,0.8,6.6,-3.6,255,171,208,208,0,1591384460264,1248,0.5623718887262079,0.24434389140271492,768.2,162
398,420,3.3,-1.5,82.3,1.4,7.5,-3.5,255,171,208,208,0,1591384460350,1249,0.2913616398243045,0.4751131221719457,398,315
377,463.4,3.3,-1.5,82.5,1.2,7,-3.7,255,171,208,208,0,1591384460441,1250,0.2759882869692533,0.5405731523378582,377,358.4
363.6,469.4,3.3,-1.4,82.2,1,6.6,-3.8,255,171,208,208,0,1591384460542,1251,0.2661786237188873,0.5496229260935143,363.6,364.4
345,474.8,3.3,-1.4,81.7,0.9,6.5,-3.7,255,171,208,208,0,1591384460624,1252,0.2525622254758419,0.5577677224736048,345,369.8
339,474,3.3,-1.4,81.9,0.8,6.8,-3.8,255,171,208,208,0,1591384460718,1253,0.24816983894582723,0.5565610859728507,339,369
369.2,467.8,3.3,-1.4,81.8,0.7,6.5,-3.8,255,171,208,208,0,1591384460813,1254,0.2702781844802343,0.5472096530920061,369.2,362.8
397,455.6,3.3,-1.4,81.7,0.7,6.8,-3.9,255,171,208,208,0,1591384460880,1255,0.29062957540263545,0.5288084464555053,397,350.6
435.6,452.4,3.3,-1.3,81.9,0.9,7.1,-4.2,255,171,208,208,0,1591384460947,1256,0.318887262079063,0.5239819004524886,435.6,347.4
